sample,condition
2412_INPUT_1_readcounts.txt,Yra1-Input
2412_INPUT_2_readcounts.txt,Yra1-Input
2412_INPUT_3_readcounts.txt,Yra1-Input
2412_YRA1IP_1_readcounts.txt,Yra1-IP
2412_YRA1IP_2_readcounts.txt,Yra1-IP
2412_YRA1IP_3_readcounts.txt,Yra1-IP
2527_INPUT_1_readcounts.txt,Cbp80-Input
2527_INPUT_2_readcounts.txt,Cbp80-Input
2527_INPUT_3_readcounts.txt,Cbp80-Input
2527_YRA1IP_1_readcounts.txt,Cbp80-IP
2527_YRA1IP_2_readcounts.txt,Cbp80-IP
2527_YRA1IP_3_readcounts.txt,Cbp80-IP
3593_INPUT_1_readcounts.txt,Hpr1-Input
3593_INPUT_2_readcounts.txt,Hpr1-Input
3593_INPUT_3_readcounts.txt,Hpr1-Input
3593_YRA1IP_1_readcounts.txt,Hpr1-IP
3593_YRA1IP_2_readcounts.txt,Hpr1-IP
3593_YRA1IP_3_readcounts.txt,Hpr1-IP
3605_INPUT_1_readcounts.txt,Tho2Del-Input
3605_INPUT_2_readcounts.txt,Tho2Del-Input
3605_INPUT_3_readcounts.txt,Tho2Del-Input
3605_YRA1IP_1_readcounts.txt,Tho2Del-IP
3605_YRA1IP_2_readcounts.txt,Tho2Del-IP
3605_YRA1IP_3_readcounts.txt,Tho2Del-IP
3771_INPUT_1_readcounts.txt,Tho2DelCbp80-Input
3771_INPUT_2_readcounts.txt,Tho2DelCbp80-Input
3771_INPUT_3_readcounts.txt,Tho2DelCbp80-Input
3771_YRA1IP_1_readcounts.txt,Tho2DelCbp80-IP
3771_YRA1IP_2_readcounts.txt,Tho2DelCbp80-IP
3771_YRA1IP_3_readcounts.txt,Tho2DelCbp80-IP
