RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T04189_0.6	F17_0.6	TS19_0.6	.	.	YDR151C	CTH1	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04190_0.6	F17_0.6	TS19_0.6	.	.	YLR136C	TIS11	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04191_0.6	F17_0.6	TS19_0.6	.	.	YLR323C	CWC24	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04192_0.6	F17_0.6	TS19_0.6	.	.	YLR401C	DUS3	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04193_0.6	F17_0.6	TS19_0.6	.	.	YOR091W	TMA46	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04194_0.6	F17_0.6	TS19_0.6	.	.	YPL054W	LEE1	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T04195_0.6	F17_0.6	TS19_0.6	.	.	YPR107C	YTH1	Saccharomyces_cerevisiae	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07027_0.6	F23_0.6	TS19_0.6	.	.	YLR116W	MSL5	Saccharomyces_cerevisiae	N	CCHC ZF,KH	zf-CCHC,KH_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12959_0.6	F28_0.6	TS19_0.6	.	.	YDL175C	AIR2	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12960_0.6	F28_0.6	TS19_0.6	.	.	YDR088C	SLU7	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12961_0.6	F28_0.6	TS19_0.6	.	.	YGR109W-A	YGR109W-A	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12962_0.6	F28_0.6	TS19_0.6	.	.	YGR109W-B	YGR109W-B	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12963_0.6	F28_0.6	TS19_0.6	.	.	YIL079C	AIR1	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12964_0.6	F28_0.6	TS19_0.6	.	.	YIL082W-A	YIL082W-A	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12965_0.6	F28_0.6	TS19_0.6	.	.	YIL082W	YIL082W	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12966_0.6	F28_0.6	TS19_0.6	.	.	YKL059C	MPE1	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T12967_0.6	F28_0.6	TS19_0.6	.	.	YNL255C	GIS2	Saccharomyces_cerevisiae	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16584_0.6	F29_0.6	TS19_0.6	M276_0.6	MS1_0.6	YGL122C	Nab2	Saccharomyces_cerevisiae	D	CCHH ZF	zf-CCHH	1	0.70	251_15703440	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20321_0.6	F35_0.6	TS19_0.6	.	.	YBL032W	HEK2	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20322_0.6	F35_0.6	TS19_0.6	.	.	YBR233W	PBP2	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20323_0.6	F35_0.6	TS19_0.6	.	.	YCL059C	KRR1	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20324_0.6	F35_0.6	TS19_0.6	.	.	YJL080C	SCP160	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20325_0.6	F35_0.6	TS19_0.6	.	.	YLL032C	YLL032C	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20326_0.6	F35_0.6	TS19_0.6	.	.	YNL210W	MER1	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T20327_0.6	F35_0.6	TS19_0.6	.	.	YOR145C	PNO1	Saccharomyces_cerevisiae	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T22967_0.6	F41_0.6	TS19_0.6	.	.	YCL037C	SRO9	Saccharomyces_cerevisiae	N	La	La	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T22968_0.6	F41_0.6	TS19_0.6	.	.	YDR515W	SLF1	Saccharomyces_cerevisiae	N	La	La	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T23521_0.6	F42_0.6	TS19_0.6	.	.	YDL051W	LHP1	Saccharomyces_cerevisiae	N	La,RRM	La,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T24492_0.6	F44_0.6	TS19_0.6	.	.	YDR496C	PUF6	Saccharomyces_cerevisiae	N	PUF	PUF	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
