,Group
>YAL062W,4
>YAL061W,4
>YAL053W,5
>YAL049C,5
>YAL047C,1
>YAL046C,5
>YAL044W-A,5
>YAL044C,4
>YAL041W,0
>YAL040C,4
>YAL039C,4
>YAL038W,2
>YAL034C,5
>YAL030W,5
>YAL008W,5
>YAL007C,5
>YAL005C,3
>YAL002W,5
>YAR002C-A,3
>YAR003W,5
>YAR008W,5
>YAR014C,1
>YAR015W,2
>YAR019C,5
>YAR027W,5
>YAR033W,5
>YAR042W,0
>YBL107C,5
>YBL105C,1
>YBL103C,1
>YBL102W,5
>YBL099W,2
>YBL098W,0
>YBL093C,4
>YBL092W,2
>YBL091C-A,5
>YBL089W,5
>YBL087C,3
>YBL084C,4
>YBL082C,4
>YBL080C,5
>YBL078C,5
>YBL074C,1
>YBL072C,3
>YBL071W-A,2
>YBL069W,5
>YBL068W,5
>YBL066C,4
>YBL064C,5
>YBL054W,5
>YBL051C,4
>YBL049W,5
>YBL046W,0
>YBL043W,4
>YBL042C,5
>YBL039C,3
>YBL038W,5
>YBL037W,0
>YBL035C,5
>YBL033C,4
>YBL030C,3
>YBL027W,2
>YBL025W,5
>YBL022C,1
>YBL020W,5
>YBL019W,0
>YBL017C,1
>YBL016W,5
>YBL013W,4
>YBL011W,0
>YBL009W,5
>YBL005W,0
>YBL003C,3
>YBL002W,2
>YBR001C,1
>YBR002C,5
>YBR005W,5
>YBR009C,3
>YBR010W,2
>YBR011C,3
>YBR014C,5
>YBR022W,5
>YBR023C,5
>YBR025C,3
>YBR026C,5
>YBR031W,2
>YBR033W,5
>YBR034C,5
>YBR035C,4
>YBR036C,5
>YBR037C,5
>YBR041W,0
>YBR045C,1
>YBR050C,5
>YBR052C,5
>YBR054W,2
>YBR057C,1
>YBR058C,5
>YBR058C-A,5
>YBR059C,4
>YBR060C,1
>YBR066C,5
>YBR067C,3
>YBR068C,5
>YBR069C,3
>YBR077C,5
>YBR082C,4
>YBR084C-A,3
>YBR087W,5
>YBR088C,5
>YBR092C,3
>YBR094W,0
>YBR097W,0
>YBR105C,5
>YBR106W,2
>YBR107C,5
>YBR109C,5
>YBR111C,5
>YBR111W-A,5
>YBR112C,4
>YBR114W,0
>YBR118W,2
>YBR119W,5
>YBR120C,5
>YBR125C,5
>YBR126C,4
>YBR130C,1
>YBR132C,5
>YBR133C,5
>YBR135W,0
>YBR136W,0
>YBR143C,3
>YBR146W,5
>YBR155W,0
>YBR159W,5
>YBR161W,5
>YBR163W,0
>YBR165W,5
>YBR166C,5
>YBR167C,1
>YBR168W,0
>YBR169C,1
>YBR170C,5
>YBR171W,0
>YBR173C,4
>YBR176W,5
>YBR179C,1
>YBR181C,3
>YBR183W,5
>YBR188C,1
>YBR189W,2
>YBR191W,5
>YBR195C,5
>YBR196C,3
>YBR202W,5
>YBR203W,5
>YBR204C,5
>YBR207W,5
>YBR208C,3
>YBR210W,5
>YBR211C,1
>YBR214W,5
>YBR216C,1
>YBR221C,3
>YBR223C,1
>YBR233W,5
>YBR234C,5
>YBR235W,5
>YBR237W,0
>YBR239C,1
>YBR245C,1
>YBR246W,5
>YBR252W,5
>YBR255C-A,5
>YBR257W,0
>YBR258C,1
>YBR261C,4
>YBR263W,2
>YBR264C,1
>YBR265W,5
>YBR270C,5
>YBR272C,1
>YBR273C,1
>YBR274W,5
>YBR279W,0
>YBR280C,5
>YBR281C,3
>YBR283C,3
>YBR290W,5
>YBR291C,5
>YBR293W,5
>YBR297W,5
>YBR298C,5
>YCL057W,5
>YCL050C,3
>YCL044C,4
>YCL040W,4
>YCL039W,0
>YCL037C,4
>YCL035C,5
>YCL030C,3
>YCL025C,3
>YCL010C,5
>YCL005W-A,4
>YCL005W,5
>YCL001W,5
>YCR005C,3
>YCR008W,5
>YCR012W,2
>YCR017C,3
>YCR018C,1
>YCR020C-A,5
>YCR021C,3
>YCR024C-A,5
>YCR026C,1
>YCR027C,5
>YCR028C,3
>YCR028C-A,3
>YCR030C,4
>YCR031C,3
>YCR033W,0
>YCR036W,0
>YCR054C,1
>YCR063W,4
>YCR072C,5
>YCR081W,0
>YCR093W,0
>YCR094W,5
>YCR097W,5
>YCR098C,3
>YDL248W,5
>YDL240W,0
>YDL238C,5
>YDL236W,2
>YDL229W,2
>YDL225W,0
>YDL219W,5
>YDL215C,1
>YDL212W,5
>YDL209C,1
>YDL205C,1
>YDL201W,5
>YDL198C,5
>YDL195W,0
>YDL192W,2
>YDL191W,2
>YDL188C,5
>YDL184C,5
>YDL178W,2
>YDL175C,5
>YDL173W,5
>YDL171C,3
>YDL166C,1
>YDL165W,5
>YDL160C,5
>YDL150W,0
>YDL137W,2
>YDL135C,1
>YDL134C,5
>YDL133C-A,5
>YDL133W,5
>YDL132W,0
>YDL130W,2
>YDL128W,5
>YDL123W,5
>YDL117W,0
>YDL116W,0
>YDL115C,1
>YDL112W,0
>YDL111C,5
>YDL110C,1
>YDL103C,5
>YDL100C,5
>YDL097C,1
>YDL095W,5
>YDL092W,5
>YDL084W,2
>YDL083C,3
>YDL082W,2
>YDL081C,3
>YDL080C,5
>YDL075W,2
>YDL073W,0
>YDL070W,0
>YDL067C,5
>YDL061C,5
>YDL060W,0
>YDL053C,4
>YDL052C,5
>YDL049C,1
>YDL048C,4
>YDL047W,5
>YDL046W,5
>YDL043C,1
>YDL037C,4
>YDL033C,5
>YDL027C,5
>YDL022W,2
>YDL021W,5
>YDL020C,5
>YDL018C,5
>YDL014W,2
>YDL010W,0
>YDL006W,5
>YDL004W,5
>YDR001C,1
>YDR002W,2
>YDR003W,5
>YDR004W,5
>YDR005C,5
>YDR012W,2
>YDR014W,0
>YDR020C,5
>YDR022C,5
>YDR025W,2
>YDR030C,1
>YDR033W,2
>YDR035W,2
>YDR037W,2
>YDR043C,5
>YDR045C,5
>YDR046C,5
>YDR049W,0
>YDR050C,3
>YDR054C,1
>YDR055W,5
>YDR063W,0
>YDR064W,2
>YDR069C,1
>YDR071C,1
>YDR072C,5
>YDR073W,0
>YDR074W,5
>YDR075W,5
>YDR076W,0
>YDR077W,2
>YDR078C,5
>YDR084C,5
>YDR085C,1
>YDR086C,3
>YDR087C,5
>YDR089W,0
>YDR091C,3
>YDR096W,0
>YDR097C,1
>YDR098C,5
>YDR100W,5
>YDR105C,5
>YDR106W,5
>YDR111C,5
>YDR118W,0
>YDR119W,5
>YDR119W-A,5
>YDR120C,5
>YDR123C,4
>YDR126W,5
>YDR127W,2
>YDR135C,1
>YDR138W,0
>YDR139C,5
>YDR143C,4
>YDR148C,3
>YDR151C,1
>YDR152W,0
>YDR155C,3
>YDR160W,0
>YDR161W,0
>YDR164C,1
